id,datum,start_datum,end_datum,zeit,titel,prenom,referent,postnom,art,ort,youtube,podcast,Zusammenfassung,kursnummer,institution_ort,zoom_link,meeting_id,homepage_link,parent_id,parent_titel,is_subevent,z_kommentare
116,2018-04-20,2018-04-20,2018-04-20,,Unterscheidung der Geister,Dr. ,Christoph Benke,,Vertiefungstag,,,,, ,,,,,,,0,
181,2020-10-23,2020-10-23,2020-10-23,,ES Jahrestagung,Prof. ,Marianne Schlosser,,Tagung,,,,, ,,,,,,,0,
185,2021-02-06,2021-02-06,2021-02-06,,„Im Dunkel wohl geborgen.“ Nachterfahrung bei Edith Stein (1891-1942),Prof. ,Hanna-Barbara Gerl-Falkovitz,,Vortrag,online,https://youtu.be/pmUpVPDa2RA,,, ,,,,,,,0,
186,2021-02-25,2021-02-25,2021-02-25,,Unterwegs zur Ewigkeit – Warum der Mensch strukturierte Zeit braucht,,Reinhold Esterbauer,,Vortrag,online,,,, ,,,,,,,0,
188,2021-03-20,2021-03-20,2021-03-20,,Beten mit Edith Stein,P. Dr. ,Roberto Maria Pirastu,OCD,Vortrag,online,https://youtu.be/swAORbbmQ0c,https://www.buzzsprout.com/870355/episodes/8962780.mp3,, ,,,,,,,0,
189,2021-04-10,2021-04-10,2021-04-10,,vom Unglauben über das Denken zum Glauben,Prof. ,Hanna-Barbara Gerl-Falkovitz,,Vortrag,online,,,, ,,,,,,,0,
190,2021-05-04,2021-05-04,2021-05-04,,Frau und Politik,Dr. ,Beate Beckmann-Zöller,,Vortrag,online,,,, ,,,,,,,0,
191,2021-07-20,2021-07-20,2021-07-20,,Verherrlicht Gott in Eurem Leib,Dr. ,Beate Beckmann-Zöller,,Vortrag,online,,,, ,,,,,,,0,
193,2021-08-07,2021-08-07,2021-08-07,,Edith Stein Fest: Leib ist mehr als Körper,Prof. ,Hanna-Barbara Gerl-Falkovitz,,Edith Stein Fest,,,,, ,,,,,,,0,
196,2021-09-21,2021-09-21,2021-09-21,,Edith Stein und Roman Ingarden,Dr. ,Beate Beckmann-Zöller,,Vortrag,online,,https://www.buzzsprout.com/870355/episodes/10272741.mp3,, ,,,,,,,0,
197,2021-10-09,2021-10-09,2021-10-09,,Sühne/Stellvertretung,Prof. ,Hanna-Barbara Gerl-Falkovitz,,Vortrag,online,,https://www.buzzsprout.com/870355/episodes/9684030.mp3,, ,,,,,,,0,
